id,longitude,latitude,name,
1,2.180019,41.397978,Gran Via Corts Catalanes,
2,2.176414,41.394381,Plaza TetuÃ¡n,
3,2.181164,41.393750,Ali Bei,
4,2.181400,41.393364,Ribes,
5,2.180214,41.391072,Pg LluÃ­s Companys,
6,2.180508,41.391272,Pg LluÃ­s Companys,
7,2.183183,41.388867,Pg LluÃ­s Companys,
8,2.183453,41.389044,Passeig lluÃ­s companys,
9,2.185294,41.385006,MarquÃ¨s de l\'Argentera,
10,2.185206,41.384875,Avinguda del Marques Argentera,
11,2.183622,41.385394,ComerÃ§,
12,2.193939,41.381681,Trelawny,
13,2.195661,41.384522,pg marÃ­tim barceloneta,
14,2.195603,41.384417,Passeig Maritim,
15,2.195706,41.386811,Avda. Litoral,
16,2.195764,41.386869,Avinguda Litoral,
17,2.170775,41.395161,Girona,
18,2.186700,41.398258,Av. Meridiana,
19,2.186697,41.398181,Padilla,
20,2.174139,41.405875,RossellÃ³,
21,2.170733,41.403267,Rossello,
22,2.174628,41.409756,Industria,
23,2.174017,41.410897,Sant Antoni Maria Claret,
24,2.172869,41.400239,NÃ pols,
25,2.171817,41.392531,Bruc,
26,2.180325,41.400008,Marina,
27,2.168350,41.395169,Bruc,
28,2.181989,41.407033,Dos Maig,
29,2.164378,41.396825,ProvenÃ§a,
30,2.170847,41.407253,Marina,
31,2.170025,41.401056,ProvenÃ§a,
32,2.182269,41.402058,Diagonal,
33,2.189092,41.375808,Passeig Joan BorbÃ³,
34,2.189014,41.374797,PlaÃ§a del mar,
35,2.190819,41.377164,Judici,
36,2.190847,41.377128,Atlantida,
37,2.175269,41.387067,Sant Pere mÃ©s Alt,
38,2.177886,41.384258,Ramon Berenguer el Gran,
39,2.176797,41.385153,Catedral,
40,2.181842,41.381247,Pl. Antonio LÃ³pez,
41,2.186436,41.381161,Pl. Pau Vila,
42,2.186633,41.381056,Pl. Pau Vila,
43,2.186267,41.382236,Doctor Aiguader,
44,2.189700,41.379047,Almirall Churruca,
45,2.190386,41.404417,Ciutat de Granada,
46,2.187161,41.404625,Av Meridiana,
47,2.187139,41.402169,Av Meridiana,
48,2.190422,41.391994,Marina ,
49,2.193006,41.388350,Ramon trias Fargas,
50,2.192106,41.389078,Ramon Trias Fargas,
51,2.187081,41.395275,Meridiana,
52,2.196458,41.391044,Rosa Sensat en front,
53,2.197028,41.390667,Rosa Sensat,
54,2.170878,41.374931,ParalÂ·lel,
55,2.169069,41.384081,Pl. VicenÃ§ Martorell,
56,2.177386,41.381767,PlaÃ§a de Sant Miquel,
57,2.173872,41.385233,Pl. Carles Pi i Sunyer,
58,2.170736,41.377536,Sant Oleguer,
59,2.173478,41.381153,La Rambla,
60,2.175836,41.377006,Portal de Santa Madrona,
61,2.177092,41.376747,La Rambla,
62,2.167156,41.382822,PlaÃ§a dels Ã€ngels,
63,2.167211,41.382781,PlaÃ§a dels Ã€ngels,
64,2.164350,41.390297,Rambla Catalunya 47,
65,2.164869,41.390089,Rambla Catalunya,
66,2.168844,41.387133,Pl. Catalunya ,
67,2.169417,41.386439,Pl. Catalunya,
68,2.169017,41.387450,Pl. Catalunya,
69,2.169569,41.387678,Pl. Catalunya,
70,2.167933,41.389100,Gran Via,
71,2.168158,41.389183,Gran Via,
72,2.145844,41.385031,Rocafort,
73,2.157403,41.395331,Rambla Catalunya,
74,2.163014,41.381958,Floridablanca ,
75,2.163067,41.380478,Villarroel,
76,2.160099,41.392292,Passatge Mercader,
77,2.155750,41.392819,Enric Granados,
78,2.143153,41.389419,Josep Tarradellas,
79,2.142864,41.385083,Josep Tarradellas,
80,2.153264,41.389364,Casanova,
81,2.152903,41.390044,Casanova,
82,2.163456,41.385658,Pl. Universitat,
83,2.163572,41.385756,Pl. Universitat,
84,2.159869,41.389678,Enric Granados,
85,2.149172,41.378925,VilamarÃ­ davant,
86,2.153764,41.378983,Rocafort,
87,2.153700,41.384058,Compte Borrell,
88,2.156422,41.382319,DiputaciÃ³,
89,2.159078,41.375072,ParalÂ·lel,
90,2.163644,41.375025,ParalÂ·le,
91,2.148497,41.383167,Mallorca,
92,2.150811,41.393519,Londres,
93,2.150164,41.387972,RossellÃ³,
94,2.150744,41.38827,RossellÃ³,
95,2.158436,41.380475,Comte Borrell,
96,2.160258,41.393831,ProvenÃ§a,
97,2.150550,41.375167,Av. ParalÂ·lel,
98,2.150878,41.375156,Av. ParalÂ·lel,
99,2.147722,41.376422,Tarragona,
100,2.148125,41.374114,Gran Via,
101,2.145478,41.378061,Tarragona,
102,2.141708,41.380656,Viriat,
103,2.141483,41.380514,Viriat,
104,2.144147,41.379167,Tarragona,
105,2.143814,41.392950,Av. Pau Casals,
106,2.143389,41.393089,Av. Pau Casals,
107,2.188217,41.409867,AragÃ³,
108,2.187383,41.410811,C/ValÃ¨ncia,
109,2.173444,41.389067,PL. Urquinaona,
110,2.162331,41.405597,Pl. Joanic,
111,2.153111,41.398286,Travessera de Gracia,
112,2.165017,41.402353,Industria,
